id,dublin_no,location,code,spaces,exact_location,installed,tariff,nearest_pad,op_hours,clearway,clearway_hours,comment,further_info,finished,extra_comment,zone,longitude,latitude,created_at,updated_at
1004,9153,Commons Street,1,45 P&D / DP (Total),At Entrance To Car Park,,2.40,"Commons St 574, 4 On Mayor St Lwr",Mon-Fri 10.00-19.00 Sat. 07.00-19.00,FALSE,,,"replaced met, 437    24/11/2010",TRUE,,Red,-6.246101,53.348315,02/01/2012 22:45:00,NULL
1005,9154,D Olier Street,,,,16/04/2010,2.90,,Mon-Sat 07.00-19.00  Sun 14.00-18.00,FALSE,,,"replaced met, 995   16/12/2010",FALSE,,Yellow,-6.257786,53.346094,02/01/2012 22:45:00,NULL
1006,9155,Capel Street,1,75 P&D (Total),At CASA Charity Shop,28/03/2007,2.90,8 on Capel Street,Mon-Sat 07.00-19.00 Sun14.00-18.00,FALSE,,,,FALSE,,Yellow,-6.268342,53.347604,02/01/2012 22:45:00,NULL
1007,9156,Burgh Quay,2,31 P&D (Total),"Opposite Bermingham Cameras, liffey side",,2.90,"Burgh Quay 1898, 2530","Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,,,"replaced met, 1900  14/12/2010",TRUE,,Yellow,-6.256315,53.347522,02/01/2012 22:45:00,NULL
1008,9157,Burgh Quay,2,31 P&D (Total),"Opp Amusements, Liffey side",,2.90,"Burgh Quay 1900, 2530","Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,,,"replaced met, 1898  14/12/2010",TRUE,,Yellow,-6.257616,53.347359,02/01/2012 22:45:00,NULL
1009,9158,Aston Quay,2,7 P&D,Opposite Boots & Aston Place,,2.90,"Westmoreland St 1933, 3 On Burgh Quay","Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,,,"replaced met,1911   10/01/2011",TRUE,,Yellow,-6.260679,53.346612,02/01/2012 22:45:00,NULL
1010,9159,Westmoreland Street,2,4 P&D / DP,EBS Building Society,03/07/2000,2.90,"D'Olier St 1922, Aston Quay 1911","Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,,,"replaced met,1933   14/12/2010",TRUE,,Yellow,-6.258958,53.346023,02/01/2012 22:45:00,NULL
1011,9160,Foster Place South,2,10 P&D,Across from number 4 / At BOI,21/05/2002,2.90,None Nearby,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,,,"replaced met,1999   14/12/2010",TRUE,,Yellow,-6.261022,53.34482,02/01/2012 22:45:00,NULL
1012,9161,Palace Street,2,5 P&D,Opposite AIB,28/04/2000,2.90,None Nearby,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,,,"replaced met,2002   14/12/2010",TRUE,,Yellow,-6.266282,53.34406,02/01/2012 22:45:00,NULL
1013,9164,Mercer Street,2,37 P&D (Total),At flats,19/04/1999,2.90,"5 On Mercer St, 4 On York St","Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,,,"replaced met, 2091  04/01/2011",TRUE,,Yellow,-6.26464,53.338587,02/01/2012 22:45:00,NULL
1014,9165,Mercer Street,2,37 P&D (Total),At flats,19/04/1999,2.90,"5 On Mercer St, 4 On York St","Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,,,"replaced met, 2103   04/01/2011",TRUE,,Yellow,-6.26449,53.338609,02/01/2012 22:45:00,NULL
1015,9167,Cuffe Lane,2,17 P&D + 12 DP,Opposite Number 5,,2.90,5 On Mercer St,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,,,"replaced met, 2125   04/01/2011",TRUE,,Yellow,-6.263654,53.338074,02/01/2012 22:45:00,NULL
1016,9168,York Street,2,35 P&D (Total),At flats,,2.90,"4 On York St, 5 On Mercer St","Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,,,"replaced met, 2136   14/12/2010",TRUE,,Yellow,-6.265315,53.339427,02/01/2012 22:45:00,NULL
1017,9169,York Street,2,35 P&D (Total),At flats,,2.90,"4 On York St, 5 On Mercer St","Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,,,"replaced met, 2147   14/12/2010",TRUE,,Yellow,-6.26513,53.339478,02/01/2012 22:45:00,NULL
1018,9170,York Street,2,35 P&D (Total),College of Surgeons,,2.90,"4 On York St, 5 On Mercer St","Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,,,"replaced met, 2158   04/01/2010",TRUE,,Yellow,-6.263482,53.33912,02/01/2012 22:45:00,NULL
1019,9171,Capel Street,1,75 P&D (Total),No 101,,2.90,8 on Capel Street,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,,,"replaced met, 2204",TRUE,,Yellow,-6.269276,53.350052,02/01/2012 22:45:00,NULL
1020,9172,Capel Street,1,75 P&D (Total),Corner of Ryders Row,,2.90,8 on Capel Street,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,,,"replaced met, 2215",TRUE,,Yellow,-6.269416,53.349922,02/01/2012 22:45:00,NULL
1021,9173,Capel Street,1,75 P&D (Total),"No 53, Codys",,2.90,8 on Capel Street,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,,,"replaced met, 2226   10/01/2011",TRUE,,Yellow,-6.268902,53.349087,02/01/2012 22:45:00,NULL
1022,9174,Capel Street,1,75 P&D (Total),At No. 137,,2.90,8 on Capel Street,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,,,"replaced met, 2259",TRUE,,Yellow,-6.268628,53.347919,02/01/2012 22:45:00,NULL
1023,9175,Capel Street,1,75 P&D (Total),Near Little Britain St-right hand side of Rd,,2.90,8 on Capel Street,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,,,"replaced met, 2260   10/01/2011",FALSE,,Yellow,-6.269039,53.349008,02/01/2012 22:45:00,NULL
