No,Location,Code,No Spaces,Exact Location,Installed,Tarriff,Nearest PandDs Same zone,Hours of Operation,Clr-Way,Clearway Hrs,Comments 1,Further Information,Finished,Comment 2,X_Value,Y_Value,Zone,Located,geometry,geometry 1,geometry 2,Longitude,Latitude
992,Sandymount Castle Drive,,,,12/03/2010,€ 1.00,,Mon-Fri 07.00-19.00,FALSE,,,,FALSE,,318963,232557,Green,,"<Point><coordinates>-6.21513,53.330133</coordinates></Point>","-6.21513,53.330133</coordinates></Point>","-6.21513,53.330133",-6.21513,53.330133
993,Rathdown Road,,,,18/03/2010,€ 2.40,,Mon-Fri 07.00-19.00,FALSE,,,,FALSE,,314539,235641,Red,Y,"<Point><coordinates>-6.280385,53.358805</coordinates></Point>","-6.280385,53.358805</coordinates></Point>","-6.280385,53.358805",-6.280385,53.358805
994,Rathdown Road,,,,18/03/2010,€ 2.40,,Mon-Fri 07.00-19.00,FALSE,,,,FALSE,,314696,235320,Red,Y,"<Point><coordinates>-6.278145,53.355888</coordinates></Point>","-6.278145,53.355888</coordinates></Point>","-6.278145,53.355888",-6.278145,53.355888
996,Montpelier Hill,,,,16/04/2010,€ 1.60,113135453,Mon-Fri 07.00-19.00,FALSE,,,,FALSE,,313619,234514,Green,Y,"<Point><coordinates>-6.294601,53.348881</coordinates></Point>","-6.294601,53.348881</coordinates></Point>","-6.294601,53.348881",-6.294601,53.348881
997,Sir John Rogerson's Quay,,,,16/04/2010,€ 2.40,9066,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,317120,234303,Red,,"<Point><coordinates>-6.242134,53.346224</coordinates></Point>","-6.242134,53.346224</coordinates></Point>","-6.242134,53.346224",-6.242134,53.346224
998,Ostman Place,,,,16/04/2010,€ 2.40,,Mon-Fri 07.00-19.00,FALSE,,,,FALSE,,314142,234960,red,,"<Point><coordinates>-6.286591,53.352774</coordinates></Point>","-6.286591,53.352774</coordinates></Point>","-6.286591,53.352774",-6.286591,53.352774
999,St. Agnes Road,,18 P  n  D,Centra Car Park,23/04/2010,€ 1.00,1000  Lisle Road,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,312137,231390,Orange,Y,"<Point><coordinates>-6.317949,53.32114</coordinates></Point>","-6.317949,53.32114</coordinates></Point>","-6.317949,53.32114",-6.317949,53.32114
1000,Lisle Road,,9,outside Cosgrove Butchers,23/04/2010,€ 1.00,999 or 1001 both on St Agnes Road,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,312196,231311,Orange,Y,"<Point><coordinates>-6.317092,53.320418</coordinates></Point>","-6.317092,53.320418</coordinates></Point>","-6.317092,53.320418",-6.317092,53.320418
1001,St Agnes Road,,7,Outside Tesco Express,23/04/2010,€ 1.00,1000 Lisle Rd or 999 St. Agnes Rd,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,312254,231293,Orange,Y,"<Point><coordinates>-6.316229,53.320244</coordinates></Point>","-6.316229,53.320244</coordinates></Point>","-6.316229,53.320244",-6.316229,53.320244
1003,North Wall Quay,,16,Pole 26.Junc.with Castleforbes Rd,02/05/2010,€ 1.60,,Mon-Sat0.700-19.00,FALSE,,,,FALSE,,317647,234429,Green,,"<Point><coordinates>-6.234178,53.347238</coordinates></Point>","-6.234178,53.347238</coordinates></Point>","-6.234178,53.347238",-6.234178,53.347238
1004,Rathgar Avenue,,20,O/S Auto factors,28/05/2010,€ 1.00,1005 same street,Mon-Fri 07.00-16.00,TRUE,Evening clearway,,,FALSE,,315026,230540,Orange,,"<Point><coordinates>-6.274925,53.312887</coordinates></Point>","-6.274925,53.312887</coordinates></Point>","-6.274925,53.312887",-6.274925,53.312887
1005,Rathgar Avenue,,20,O/S No. 7,28/05/2010,€ 1.00,1004 same street,Mon-Fri 10.00-19.00,TRUE,Moringin clearway,,,FALSE,,315007,230548,Orange,,"<Point><coordinates>-6.275207,53.312963</coordinates></Point>","-6.275207,53.312963</coordinates></Point>","-6.275207,53.312963",-6.275207,53.312963
1006,Botanic Ave,,45 + 2 disabled,0/s no.88,09/07/2010,€ 1.60,,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,315828.92,236756.08,Green,,"<Point><coordinates>-6.260613,53.368538</coordinates></Point>","-6.260613,53.368538</coordinates></Point>","-6.260613,53.368538",-6.260613,53.368538
1007,Inchicore Road,,33,Outside no 117,23/07/2010,€ 1.00,,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,312159,233690,Blue,,"<Point><coordinates>-6.316806,53.341792</coordinates></Point>","-6.316806,53.341792</coordinates></Point>","-6.316806,53.341792",-6.316806,53.341792
1008,Clontarf Road Car Park,,,,26/02/2010,€ 0.60,Opposite Bus Garage,Mon-Fri  08.00-18.00,FALSE,,,replaced met.9104  26/07/2010,FALSE,,320472,235720,Blue,Y,"<Point><coordinates>-6.19129,53.358197</coordinates></Point>","-6.19129,53.358197</coordinates></Point>","-6.19129,53.358197",-6.19129,53.358197
1009,Addison Road,,60 P n D  n  Permit,,26/08/2010,€ 1.00,,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,317345.36,235541.2,Blue,,"<Point><coordinates>-6.238293,53.357294</coordinates></Point>","-6.238293,53.357294</coordinates></Point>","-6.238293,53.357294",-6.238293,53.357294
1010,Summer St. North,,54 P n D  n  Permit,,,€ 2.40,,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,316475.54,236052.48,Red,,"<Point><coordinates>-6.251162,53.362077</coordinates></Point>","-6.251162,53.362077</coordinates></Point>","-6.251162,53.362077",-6.251162,53.362077
1011,St. Albans Park,,70 P  n  D (Total),,11/10/2010,€ 1.00,,Mon-Fri  07.00-19.00,FALSE,,,,FALSE,,319337,235541.2,Orange,Y,"<Point><coordinates>-6.208396,53.356848</coordinates></Point>","-6.208396,53.356848</coordinates></Point>","-6.208396,53.356848",-6.208396,53.356848
1013,St Albans Park,,70 P  n  D total,No. 86,11/10/2010,€ 1.00,1011 St. Albans Park,Mon-Fri 07.00-19.00,FALSE,,,,FALSE,,319485,231414,Orange,Y,"<Point><coordinates>-6.20773,53.31975</coordinates></Point>","-6.20773,53.31975</coordinates></Point>","-6.20773,53.31975",-6.20773,53.31975
1015,North Circular Road,,,,06/12/2010,,,,FALSE,,,,FALSE,,0,0,,,"<Point><coordinates>-10.863443,51.218565</coordinates></Point>","-10.863443,51.218565</coordinates></Point>","-10.863443,51.218565",-10.863443,51.218565
1016,Oxmantown Road,,180,,24/01/2011,€ 1.60,,Mon-Fri  07.00-19.00,FALSE,,,,FALSE,,313712.36,235143.45,Green,Y,"<Point><coordinates>-6.292974,53.354514</coordinates></Point>","-6.292974,53.354514</coordinates></Point>","-6.292974,53.354514",-6.292974,53.354514
1017,Cowper Street/Oxmantown Rd,,,,24/01/2011,€ 1.60,,Mon-Fri  07.00-19.00,FALSE,,,,FALSE,,313839.43,235056.94,Green,Y,"<Point><coordinates>-6.291097,53.35371</coordinates></Point>","-6.291097,53.35371</coordinates></Point>","-6.291097,53.35371",-6.291097,53.35371
1018,Niall Street/Moira Road,,60,,24/01/2011,€ 1.60,,Mon-Fri  07.00-19.00,FALSE,,,,FALSE,,313960.12,234988.77,Green,Y,"<Point><coordinates>-6.28931,53.353072</coordinates></Point>","-6.28931,53.353072</coordinates></Point>","-6.28931,53.353072",-6.28931,53.353072
1019,Halliday Road/Oxmantown Road,,,,24/01/2011,€ 1.60,,Mon-Fri 07.00-19.00,FALSE,,,,FALSE,,313993.91,234908.63,Green,Y,"<Point><coordinates>-6.288832,53.352345</coordinates></Point>","-6.288832,53.352345</coordinates></Point>","-6.288832,53.352345",-6.288832,53.352345
1020,Mount Prospect Lawns,,35,opposite no. 27,18/03/2011,€ 1.00,none nearby,Mon -Sun 07.00-24.00,FALSE,,,,FALSE,,320488.8,236729.28,,,"<Point><coordinates>-6.190654,53.367257</coordinates></Point>","-6.190654,53.367257</coordinates></Point>","-6.190654,53.367257",-6.190654,53.367257
1021,Palmerston Villas,,23,,11/02/2011,€ 1.00,,Mon-Fri 07.00-19.00,FALSE,,,,FALSE,,315764.3,230655.98,Orange,Y,"<Point><coordinates>-6.263811,53.313768</coordinates></Point>","-6.263811,53.313768</coordinates></Point>","-6.263811,53.313768",-6.263811,53.313768
1024,Halston Street,,13,,06/06/2011,€ 2.90,Green Street,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,315168.59,234638.24,Yellow,Y,"<Point><coordinates>-6.271298,53.349662</coordinates></Point>","-6.271298,53.349662</coordinates></Point>","-6.271298,53.349662",-6.271298,53.349662
1025,Lindsay Road,,,,,,,,FALSE,,,,FALSE,,0,0,,,"<Point><coordinates>-10.863443,51.218565</coordinates></Point>","-10.863443,51.218565</coordinates></Point>","-10.863443,51.218565",-10.863443,51.218565
1026,Lindsay Road,,,,,,,,FALSE,,,,FALSE,,0,0,,,"<Point><coordinates>-10.863443,51.218565</coordinates></Point>","-10.863443,51.218565</coordinates></Point>","-10.863443,51.218565",-10.863443,51.218565
1027,Rathmines Road Upper,,43P n D/DP,,22/06/2011,€ 1.60,Church Avenue mt.9189,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,315653.46,231410.15,,,"<Point><coordinates>-6.265198,53.320565</coordinates></Point>","-6.265198,53.320565</coordinates></Point>","-6.265198,53.320565",-6.265198,53.320565
1045,Adelaide Road,2,68 P n D + 14 DP (Total),Opp no 61,,€ 2.90,6 On Adelaide Rd,Mon-Sat 07.00-19.00,FALSE,,,replaced met.148 01/03/2007,TRUE,,316161.7519,232757.4127,Yellow,Y,"<Point><coordinates>-6.257081,53.332554</coordinates></Point>","-6.257081,53.332554</coordinates></Point>","-6.257081,53.332554",-6.257081,53.332554
