Index,Street,Postal Code,No of spaces,Location,
378,Landstown Road,,2,L/S no 1,
379,Lismore Road,,1,,
380,Laugh Derg Road,,1,,
381,Morning Star Ave,,1,Irish Council Of Disailibity,
382,Mayor Street lower,,1,North Side East of Commons Street,
383,Mayor Street lower,,1,South side East of Commons street,
384,Mayor Street lower,,1,West of guild street,
385,Prospect Square,,1,,
386,Ranelagh Ave,,1,,
387,Ranelagh,,1,,
388,Rathmore Park,,1,,
389,Rathmines Close,,1,,
390,Reuben Street,,1,,
391,Shantella Drive,,1,,
392,Stephens Street Lower,D1,1,North Side,
393,St Maignenns Terrace,,1,,
394,St Marys Park,,1,,
395,Tritonville Court,,1,,
396,Terenure Park,,1,,
397,Tivoli Ave,,1,,
398,Talbot Street,,2,Clerys near Gardiner Street South Side,
399,Wigan Road,,1,,
400,Winsor Terrace,,1,,
401,Vernon Court,,1,At school,
402,Verschoyle Court,,1,off Stephens place,
